Municipality,Gem_code_CBS,Municipality_ID,Region,Region_ID,RES,RES_ID,Provincie,Provincie_ID
Maasdriel,0263,GM0263,Fruitdelta Rivierenland,REG12,Fruitdelta Rivierenland,12,Gelderland,PV25
Schagen,0441,GM0441,Kop van Noord-Holland,REG16,Kop van Noord-Holland,16,Noord-Holland,PV27
Eijsden-Margraten,1903,GM1903,Maastricht Heuvelland,REG39,Maastricht Heuvelland,39,Limburg,PV31
Zwolle,0193,GM0193,West-Overijssel,REG05,West-Overijssel,5,Overijssel,PV23
Echt-Susteren,1711,GM1711,Noord- en Midden-Limburg,REG37,Noord- en Midden-Limburg,37,Limburg,PV31
Lansingerland,1621,GM1621,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Laarbeek,1659,GM1659,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Dongen,0766,GM0766,Hart van Brabant,REG33,Hart van Brabant,33,Noord-Brabant,PV30
West Maas en Waal,0668,GM0668,Fruitdelta Rivierenland,REG12,Fruitdelta Rivierenland,12,Gelderland,PV25
Son en Breugel,0848,GM0848,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Alphen aan den Rijn,0484,GM0484,Holland Rijnland,REG29,Holland Rijnland,29,Zuid-Holland,PV28
Molenlanden,1978,GM1978,Alblasserwaard,REG25,Alblasserwaard,25,Zuid-Holland,PV28
Voorschoten,0626,GM0626,Holland Rijnland,REG29,Holland Rijnland,29,Zuid-Holland,PV28
Bronckhorst,1876,GM1876,Achterhoek,REG07,Achterhoek,7,Gelderland,PV25
Assen,0106,GM0106,Drenthe,REG03,Drenthe,3,Drenthe,PV22
Maashorst,1991,GM1991,Noordoost-Brabant,REG35,Noordoost-Brabant,35,Noord-Brabant,PV30
Katwijk,0537,GM0537,Holland Rijnland,REG29,Holland Rijnland,29,Zuid-Holland,PV28
Castricum,0383,GM0383,Regio Alkmaar,REG17,Regio Alkmaar,17,Noord-Holland,PV27
Zaanstad,0479,GM0479,Zaanstreek-Waterland,REG21,Zaanstreek-Waterland,21,Noord-Holland,PV27
Coevorden,0109,GM0109,Drenthe,REG03,Drenthe,3,Drenthe,PV22
Oldambt,1895,GM1895,Groningen,REG01,Groningen,1,Groningen,PV20
Zutphen,0301,GM0301,Cleantech,REG13,Cleantech,13,Gelderland,PV25
Het Hogeland,1966,GM1966,Groningen,REG01,Groningen,1,Groningen,PV20
Wierden,0189,GM0189,Twente,REG04,Twente,4,Overijssel,PV23
Rheden,0275,GM0275,Arnhem/Nijmegen,REG08,Arnhem/Nijmegen,8,Gelderland,PV25
Haaksbergen,0158,GM0158,Twente,REG04,Twente,4,Overijssel,PV23
Oost Gelre,1586,GM1586,Achterhoek,REG07,Achterhoek,7,Gelderland,PV25
Veenendaal,0345,GM0345,Foodvalley Utrecht,REG10,Foodvalley Utrecht,10,Utrecht,PV26
Leiden,0546,GM0546,Holland Rijnland,REG29,Holland Rijnland,29,Zuid-Holland,PV28
Heeze-Leende,1658,GM1658,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Dinkelland,1774,GM1774,Twente,REG04,Twente,4,Overijssel,PV23
Reimerswaal,0703,GM0703,Zeeland,REG32,Zeeland,32,Zeeland,PV29
Breda,0758,GM0758,West-Brabant,REG36,West-Brabant,36,Noord-Brabant,PV30
Bernheze,1721,GM1721,Noordoost-Brabant,REG35,Noordoost-Brabant,35,Noord-Brabant,PV30
Beverwijk,0375,GM0375,IJmond-Zuid-Kennemerland,REG20,IJmond-Zuid-Kennemerland,20,Noord-Holland,PV27
Wijchen,0296,GM0296,Arnhem/Nijmegen,REG08,Arnhem/Nijmegen,8,Gelderland,PV25
Meierijstad,1948,GM1948,Noordoost-Brabant,REG35,Noordoost-Brabant,35,Noord-Brabant,PV30
Westland,1783,GM1783,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Hardenberg,0160,GM0160,West-Overijssel,REG05,West-Overijssel,5,Overijssel,PV23
Wageningen,0289,GM0289,Foodvalley Gelderland,REG09,Foodvalley Gelderland,9,Gelderland,PV25
De Fryske Marren,1940,GM1940,Friesland,REG02,Friesland,2,Fryslân,PV21
Sittard-Geleen,1883,GM1883,Westelijke Mijnstreek,REG40,Westelijke Mijnstreek,40,Limburg,PV31
Zevenaar,0299,GM0299,Arnhem/Nijmegen,REG08,Arnhem/Nijmegen,8,Gelderland,PV25
Woudenberg,0351,GM0351,Amersfoort,REG14,Amersfoort,14,Utrecht,PV26
Reusel-De Mierden,1667,GM1667,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Almere,0034,GM0034,Flevoland,REG06,Flevoland,6,Flevoland,PV24
Amersfoort,0307,GM0307,Amersfoort,REG14,Amersfoort,14,Utrecht,PV26
Oss,0828,GM0828,Noordoost-Brabant,REG35,Noordoost-Brabant,35,Noord-Brabant,PV30
Midden-Delfland,1842,GM1842,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Goeree-Overflakkee,1924,GM1924,Goeree-Overflakkee,REG27,Goeree-Overflakkee,27,Zuid-Holland,PV28
Hillegom,0534,GM0534,Holland Rijnland,REG29,Holland Rijnland,29,Zuid-Holland,PV28
