Municipality,Gem_code_CBS,Municipality_ID,Region,Region_ID,RES,RES_ID,Provincie,Provincie_ID
Assen,0106,GM0106,Drenthe,REGET0301,Drenthe,ET0301,Drenthe,PV22
Coevorden,0109,GM0109,Drenthe,REGET0301,Drenthe,ET0301,Drenthe,PV22
Oldambt,1895,GM1895,Groningen,REGET0101,Groningen,ET0101,Groningen,PV20
Het Hogeland,1966,GM1966,Groningen,REGET0101,Groningen,ET0101,Groningen,PV20
Hardenberg,0160,GM0160,West-Overijssel,REGET0501,West-Overijssel,ET0501,Overijssel,PV23
Pekela,0765,GM0765,Groningen,REGET0101,Groningen,ET0101,Groningen,PV20
Tynaarlo,1730,GM1730,Drenthe,REGET0301,Drenthe,ET0301,Drenthe,PV22
Westerveld,1701,GM1701,Drenthe,REGET0301,Drenthe,ET0301,Drenthe,PV22
Aa en Hunze,1680,GM1680,Drenthe,REGET0301,Drenthe,ET0301,Drenthe,PV22
Stadskanaal,0037,GM0037,Groningen,REGET0101,Groningen,ET0101,Groningen,PV20
Westerwolde,1950,GM1950,Groningen,REGET0101,Groningen,ET0101,Groningen,PV20
Meppel,0119,GM0119,Drenthe,REGET0301,Drenthe,ET0301,Drenthe,PV22
Midden-Drenthe,1731,GM1731,Drenthe,REGET0301,Drenthe,ET0301,Drenthe,PV22
Groningen,0014,GM0014,Groningen,REGET0101,Groningen,ET0101,Groningen,PV20
Hoogeveen,0118,GM0118,Drenthe,REGET0301,Drenthe,ET0301,Drenthe,PV22
Westerkwartier,1969,GM1969,Groningen,REGET0101,Groningen,ET0101,Groningen,PV20
Borger-Odoorn,1681,GM1681,Drenthe,REGET0301,Drenthe,ET0301,Drenthe,PV22
Eemsdelta,1979,GM1979,Groningen,REGET0101,Groningen,ET0101,Groningen,PV20
De Wolden,1690,GM1690,Drenthe,REGET0301,Drenthe,ET0301,Drenthe,PV22
Midden-Groningen,1952,GM1952,Groningen,REGET0101,Groningen,ET0101,Groningen,PV20
Noordenveld,1699,GM1699,Drenthe,REGET0301,Drenthe,ET0301,Drenthe,PV22
Emmen,0114,GM0114,Drenthe,REGET0301,Drenthe,ET0301,Drenthe,PV22
Staphorst,0180,GM0180,West-Overijssel,REGET0501,West-Overijssel,ET0501,Overijssel,PV23
Steenwijkerland,1708,GM1708,West-Overijssel,REGET0501,West-Overijssel,ET0501,Overijssel,PV23
Veendam,0047,GM0047,Groningen,REGET0101,Groningen,ET0101,Groningen,PV20
